id,region,prefecture,commune,canton,pharmacie_nom,pharmacie_type,pharmacie_secteur,ouverture,annee,id_service,keyword,geometry_name,geometry_type,geometry_coordinates0,geometry_coordinates1,pharma_id,statut,created_at,updated_at
2,Plateaux,Kloto,"Kloto 1",Agome-Kpalime,"Pharmacie Lavoisier","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,0.63188364,6.90989239,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3313,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
4,Plateaux,Kloto,"Kloto 1",Agome-Kpalime,"Pharmacie la Persévérance","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",1998,,,geometry,Point,0.63357746,6.91427431,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3315,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
6,Plateaux,Kloto,"Kloto 1",Agome-Kpalime,"Pharmacie Kékéli","Officine de pharmacie",Prive,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2019,,,geometry,Point,0.63418036,6.91900286,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3318,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
7,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie du CMS Avopras","Pharmacie de centre de santé",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",2013,,,geometry,Point,1.19777812,6.19291224,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3319,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
9,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Vigueur","Officine de pharmacie",Prive,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2012,,,geometry,Point,1.20081554,6.19255458,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_331c,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
13,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie de la Nation","Officine de pharmacie",Prive,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",1993,,,geometry,Point,1.19099084,6.19226238,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3324,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
14,Maritime,Agoè-Nyivé,"Agoè-Nyivé 3",Vakpossito,"Pharmacie Arc-en-ciel","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,1.16730625,6.21204768,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3325,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
16,Maritime,Golfe,"Golfe 7",Aflao-Sagbado,"Pharmacie la Bonté","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Nsp,,,geometry,Point,1.15363751,6.18954049,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3327,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
17,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Betania","Officine de pharmacie",Nsp,Nsp,Nsp,,,geometry,Point,1.18148877,6.19254505,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_332b,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
18,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie de la Cité","Officine de pharmacie",Prive,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi,Samedi}",1991,,,geometry,Point,1.189883,6.1712291,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_332d,1,"2025-07-23 16:19:24","2025-07-23 16:19:24"
28,Plateaux,Agou,"Agou 1",Agou-Akplolo,"Pharmacie Villageoise d'Agou Akplolo","Officine de pharmacie",Prive,Nsp,Nsp,,,geometry,Point,0.76976856,6.88847815,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_3337,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
31,Maritime,Golfe,"Golfe 5",Aflao-Gakli,"Pharmacie Apollon","Officine de pharmacie",Prive,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Nsp,,,geometry,Point,1.16689718,6.20258059,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_333f,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
37,Plateaux,Kloto,"Kloto 1",Agome-Kpalime,"Pharmacie régionale d'approvisionnement CAMEG Kpalimé","Pharmacie Régionale d'Approvisionnement",Public,"{Samedi,Vendredi,Mercredi,Mardi,Lundi,Jeudi}",N/a,,,geometry,Point,0.62759109,6.91385939,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_334b,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
38,Kara,Kozah,"Kozah 1","Commune De Kara","Pharmacie régionale d'approvisionnement CAMEG Kara","Pharmacie Régionale d'Approvisionnement",Public,"{Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",2002,,,geometry,Point,1.18091367,9.55753736,_mview_sant_pharmacies.fid-7111a9c0_193dca6021d_334c,1,"2025-07-23 16:19:25","2025-07-23 16:19:25"
